store_id, product_id, quantity,annotation
1,1,27,1
1,2,5,1
1,3,6,1
1,4,23,1
1,5,22,1
1,6,0,1
1,7,8,1
1,8,0,1
1,9,11,1
1,10,15,1
1,11,8,1
1,12,16,1
1,13,13,1
1,14,8,1
1,15,3,1
1,16,4,1
1,17,2,1
1,18,16,1
1,19,4,1
1,20,26,1
1,21,24,1
1,22,29,1
1,23,9,1
1,24,10,1
1,25,10,1
1,26,16,1
1,27,21,1
1,28,20,1
1,29,13,1
1,30,30,1
1,31,2,1
1,32,0,1
1,33,10,1
1,34,2,1
1,35,18,1
1,36,26,1
1,37,12,1
1,38,13,1
1,39,2,1
1,40,24,1
1,41,10,1
1,42,0,1
1,43,2,1
1,44,1,1
1,45,15,1
1,46,19,1
1,47,21,1
1,48,5,1
1,49,8,1
1,50,29,1
1,51,2,1
1,52,18,1
1,53,17,1
1,54,11,1
1,55,11,1
1,56,15,1
1,57,1,1
1,58,1,1
1,59,22,1
1,60,19,1
1,61,30,1
1,62,21,1
1,63,4,1
1,64,30,1
1,65,10,1
1,66,12,1
1,67,19,1
1,68,30,1
1,69,4,1
1,70,3,1
1,71,25,1
1,72,9,1
1,73,7,1
1,74,9,1
1,75,23,1
1,76,15,1
1,77,16,1
1,78,13,1
1,79,13,1
1,80,11,1
1,81,25,1
1,82,1,1
1,83,13,1
1,84,11,1
1,85,23,1
1,86,19,1
1,87,27,1
1,88,7,1
1,89,9,1
1,90,4,1
1,91,8,1
1,92,0,1
1,93,22,1
1,94,6,1
1,95,25,1
1,96,20,1
1,97,20,1
1,98,28,1
1,99,28,1
1,100,15,1
1,101,17,1
1,102,9,1
1,103,13,1
1,104,25,1
1,105,7,1
1,106,30,1
1,107,20,1
1,108,15,1
1,109,30,1
1,110,1,1
1,111,11,1
1,112,17,1
1,113,24,1
1,114,3,1
1,115,10,1
1,116,24,1
1,117,15,1
1,118,12,1
1,119,17,1
1,120,23,1
1,121,19,1
1,122,22,1
1,123,8,1
1,124,23,1
1,125,22,1
1,126,28,1
1,127,12,1
1,128,11,1
1,129,21,1
1,130,22,1
1,131,20,1
1,132,1,1
1,133,9,1
1,134,26,1
1,135,15,1
1,136,12,1
1,137,12,1
1,138,6,1
1,139,17,1
1,140,3,1
1,141,21,1
1,142,22,1
1,143,19,1
1,144,7,1
1,145,5,1
1,146,6,1
1,147,8,1
1,148,6,1
1,149,1,1
1,150,22,1
1,151,24,1
1,152,12,1
1,153,25,1
1,154,13,1
1,155,8,1
1,156,13,1
1,157,25,1
1,158,11,1
1,159,18,1
1,160,0,1
1,161,17,1
1,162,14,1
1,163,0,1
1,164,15,1
1,165,16,1
1,166,23,1
1,167,28,1
1,168,0,1
1,169,25,1
1,170,14,1
1,171,3,1
1,172,3,1
1,173,2,1
1,174,26,1
1,175,2,1
1,176,11,1
1,177,19,1
1,178,23,1
1,179,16,1
1,180,5,1
1,181,19,1
1,182,28,1
1,183,11,1
1,184,4,1
1,185,3,1
1,186,1,1
1,187,16,1
1,188,30,1
1,189,6,1
1,190,21,1
1,191,21,1
1,192,20,1
1,193,30,1
1,194,24,1
1,195,1,1
1,196,26,1
1,197,22,1
1,198,1,1
1,199,2,1
1,200,27,1
1,201,16,1
1,202,5,1
1,203,4,1
1,204,23,1
1,205,9,1
1,206,10,1
1,207,27,1
1,208,13,1
1,209,22,1
1,210,25,1
1,211,13,1
1,212,17,1
1,213,14,1
1,214,4,1
1,215,1,1
1,216,11,1
1,217,11,1
1,218,27,1
1,219,30,1
1,220,4,1
1,221,7,1
1,222,12,1
1,223,3,1
1,224,16,1
1,225,24,1
1,226,18,1
1,227,19,1
1,228,22,1
1,229,27,1
1,230,7,1
1,231,25,1
1,232,5,1
1,233,5,1
1,234,13,1
1,235,7,1
